Case Number,Date,Type,Country,Area,Location,Activity,Sex ,Injury,Fatal (Y/N),Investigator or Source,href formula,original order
1868.01.04.R,1868-01-04 00:00:00,Unprovoked,Australia,South Australia,Belfast (now Port Fairy),Fishing,No Data,"No injury to occupants, shark's teeth embedded in keel",N,"Nelson Examiner & New Zealand Chronicle, 4/3/1868",http://sharkattackfile.net/spreadsheets/pdf_directory/1868.01.04.R-PortFairy.pdf,379.0
1868.00.00.b," 24-Oct-1888, but took place around 1868",Unprovoked,Australia,Torres Strait,South Aroo Island,Swimming,M,FATAL,Y,"The New Era, 10/24/1888",http://sharkattackfile.net/spreadsheets/pdf_directory/1868.00.00.b-PindoIslanders.pdf,378.0
1868.00.00.a,1868 (?,Unprovoked,New zealand,North Island,"Brickfield Bay, Auckland Harbour",Bathing close inshore,M,Thigh bitten,N,"V.M. Coppleson (1958)  (May refer to Thomas Cooke, see- 22-Dec-1862)",http://sharkattackfile.net/spreadsheets/pdf_directory/1868.00.00.a-Cook.pdf,377.0
1867.08.22.R,1867-08-22 00:00:00,Unprovoked,Egypt,No Data,Port Said,Swimming,M,FATAL,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1867.08.22.R-PortSaid.pdf,376.0
1867.08.00,1867-08-01 00:00:00,Unprovoked,Mexico,Veracruz ,Vera Cruz Harbor,boat from the Austrian ship Elizabeth,M,FATAL,Y,"Washington Star, 12/12/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1867.08.00-ElizabethCrew.pdf,375.0
1867.06.26,1867-06-26 00:00:00,Unprovoked,Cuba,Villa Clara Province,Remedios,boat from ship Josephine capsized in squall,M,FATAL,Y,"Cork Examiner, 8/17/1867; Whaleman's Shipping List, 9/24;1867",http://sharkattackfile.net/spreadsheets/pdf_directory/1867.06.26-JosephineCrewmen.pdf,374.0
1867.01.26.R,1867-01-26 00:00:00,Provoked,Australia,Victoria,Queenscliff,No Data,No Data,"No injury, shark bit oar of customs boat",N,"Charlestown Daily News, 4/3/1867",http://sharkattackfile.net/spreadsheets/pdf_directory/1867.01.26.R-Queenscliff,373.0
1867.00.00,1867-01-01 00:00:00,Unprovoked,Cuba,Matanzas Province (north coast),Matanzas,Painting a ship,M,"FATAL, pulled off float by shark, body not recovered ",Y,"Washington Star, 12/12/1891",http://sharkattackfile.net/spreadsheets/pdf_directory/1867.00.00-Cuba.pdf,372.0
1866.07.09.R,1866-07-09 00:00:00,Unprovoked,Usa,Alabama,Mobile Bay,Bathing,M,FATAL,Y,"The Atchison Daily Champion, 7/22/1866",http://sharkattackfile.net/spreadsheets/pdf_directory/1866.07.09.R-Mobile.pdf,371.0
1866.04.24.R,1866-04-24 00:00:00,Provoked,Australia,Western Australia,Off De Grey river,Fell overboard,M,Thought to have been taken by a shark. Body was not recovered,N,"The Argus, 4/24/1866",http://sharkattackfile.net/spreadsheets/pdf_directory/1866.04.24.R-Groves.pdf,370.0
1865.09.02,1865-09-02 00:00:00,Unprovoked,Usa,New York,"Greenport Sound, Long Island",Swimming alongside the schooner Catherine Wilcox,M,Multiple lacerations,N,"P. Bailey; J. Gaudin, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1865.09.02-Johnson.pdf,369.0
1865.07.14.R,1865-07-14 00:00:00,Unprovoked,Usa,Texas,Brazos,Bathing,M,FATAL,Y,"Philadelphia Inquirer, 7/14/1865",http://sharkattackfile.net/spreadsheets/pdf_directory/1865.07.14.R-Col-Bryant.pdf,368.0
1865.03.01.R,1865-03-01 00:00:00,Provoked,South africa,Western Cape Province,St. Helena Bay,Fishing,M,"FATAL: Boat capsized, sharks took fishermen",Y,"South African Advertiser, 3/1/1865",http://sharkattackfile.net/spreadsheets/pdf_directory/1865.03.01.R-St-HelenaBay.pdf,367.0
1865.00.00,1865-01-01 00:00:00,Provoked,Australia,South Australia,Semaphore,Boarding a ship,No Data,"No injury to pilot, oar bitten",N,"V.M. Coppleson (1958), p.186",http://sharkattackfile.net/spreadsheets/pdf_directory/1865.00.00-Barrett.pdf,366.0
1864.10.02,1864-10-02 00:00:00,Unprovoked,Usa,North Carolina,"Cedar Island, Carteret County",Wreck of the Aphrodite,M,FATAL,Y,National Republican 10/11/1864,http://sharkattackfile.net/spreadsheets/pdf_directory/1864.10.02-Aphrodite.pdf,365.0
1864.09.18.R,1864-09-18 00:00:00,Provoked,France,Alpes Maritime,Antibes,Dragging a shark,M,Knee bitten PROVOKED INCIDENT,N,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.09.18.R-Antibes.pdf,364.0
1864.09.00,1864-09-01 00:00:00,Unprovoked,Scotland,Edinburgh,Granton,No Data,M,Leg bitten 3 times,N,C. Moore citing R. Peirce,http://sharkattackfile.net/spreadsheets/pdf_directory/1864.09.00-Ballard.pdf,363.0
1864.08.12,1864-08-12 00:00:00,Unprovoked,Usa,New York,Mahattan,Swimming,M,Left thigh severely bitten,N,"NY Times, 8/13/1864",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.08.12-Brice.pdf,362.0
1864.08.00,1864-08-01 00:00:00,Unprovoked,Madagascar,No Data,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.08.00-Madagascar.pdf,361.0
1864.07.25,1864-07-25 00:00:00,Unprovoked,Spain,Eastern Catalona,Badalona,Bathing,M,FATAL,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.07.25-Badalona-Spain.pdf,360.0
1864.05,1864-05-01 00:00:00,Unprovoked,Mauritius,300 miles east of Mauritius,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.05.00.Mauritius.pdf,359.0
1864.04.09,1864-04-09 00:00:00,Unprovoked,China,No Data,Macao Harbor,Swimming,M,No injury,N,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.04.09-Macao.pdf,358.0
1864.04.00,1864-04-01 00:00:00,Unprovoked,Mauritius,No Data,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.04.00-Mauritius.pdf,357.0
1864.01.27.R,1864-01-27 00:00:00,Unprovoked,Panama,Colón Province,Aspinwall (Colón),Coming ashore on a hawser,M,FATAL,Y,"Chicago Tribune, 1/27/1864",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.01.27.R-SailorSolent.pdf,356.0
1864.01.16.R,1864-01-16 00:00:00,Unprovoked,New zealand,Foveaux Strait,Stewart Island,Boat swamped,M,FATAL,Y,"Otago Witness, 1/16/1864",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.01.16.R-StewartsIsland.pdf,355.0
1864.01.02,1864-01-02 00:00:00,Unprovoked,New zealand,North Island,"Brickfield Bay, Auckland Harbour",Standing / Bathing,M,Minor injury to hip,N,"Wellington Independent, 1/21/1864",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.01.01-Kelsall.pdf,354.0
1864.00.00.R,1864-01-01 00:00:00,Unprovoked,Indonesia,Sumatra,Off Acheen Head,Reaching for life preserver,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.00.00.R-Sumatra.pdf,353.0
1864.00.00,1864-01-01 00:00:00,Provoked,Australia,South Australia,"Corio Bay, Port Phillip",Swimming,M,Presumed FATAL,N,"The Argus, 11/24/1868",http://sharkattackfile.net/spreadsheets/pdf_directory/1864.00.00-Warren.pdf,352.0
1863.12.14,1863-12-14 00:00:00,Unprovoked,Guinea,Conakry Region,Ile de Loss,"Bathing near whaling ship (bark A. R. Tucker of New Bedford, Massachusetts)",M,"FATAL ""Most of leg torn away . . .  Buried on Island of DeLoss on the west coast of Africa""",Y,"P. Purrington, Whaling Museum & Old Dartmouth Historical Society; V.M. Coppleson (1958), p.321    ",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.12.14-Petty.pdf,351.0
1863.09.13.R,1863-09-13 00:00:00,Unprovoked,Usa,South Carolina,"Stono Inlet, near Charleston, Charleston County",Bathing,M,Thrown into the air & bruised,N,"NY Times, 9/13/1863",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.09.13.R-StonoInlet.pdf,350.0
1863.07.09,1863-07-09 00:00:00,Provoked,Usa,Hawaii,Palama,Fishing,M,Hand severed by noosed shark PROVOKED INCIDENT,N,"Pacific Commercial Advertiser, 7/9/1863",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.07.09-Palama.pdf,349.0
1863.04.00,1863-04-01 00:00:00,Unprovoked,Australia,Queensland,Caloundra Heads,Launching a boat,M,FATAL,Y,"Brisbane Courier, 6/12/1889, p.9",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.04.00-Barnsfield.pdf,348.0
1863.03.05,1863-03-05 00:00:00,Unprovoked,Australia,Victoria,Brighton,Floating on back,M,Lacerations to right torso & ankle,N,"Argus, 3/10/1863",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.03.05-Thorn.pdf,347.0
1863.02.05,1863-02-05 00:00:00,Provoked,South africa,KwaZulu-Natal,"Back Beach, Durban","Swimming, caught in strong backwash & disappeared",M,3.2 m [10.5'] shark caught 9 days later contained human remains thought to be those of Canham,N,"M. Levine, GSAF; Times of Natal, 2/16/1863",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.02.05-Canham.pdf,346.0
1863.01.10,1863-01-10 00:00:00,Unprovoked,Australia,New South Wales,"""Bellynahinch"" on the Manning River",Bathing,M,FATAL,Y,"G.P. Whitley, p.259",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.01.10-Brown.pdf,345.0
1863.00.00.R4,1863-01-01 00:00:00,Unprovoked,Andaman islands,No Data,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.00.00.R4-AndamanIslands.pdf,344.0
1863.00.00.R3,1863-01-01 00:00:00,Unprovoked,Ceylon,No Data,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.00.00.R3-Ceylon.pdf,343.0
1863.00.00.R2,1863-01-01 00:00:00,Unprovoked,Ceylon,No Data,No Data,Fell overboard,M,FATAL,Y,"North Adams Transcript, 3/18/1898",http://sharkattackfile.net/spreadsheets/pdf_directory/1863.00.00.R2-Ceylon.pdf,342.0
1863.00.00.R,1863-01-01 00:00:00,Unprovoked,Greece,Corfu,No Data,Swimming,M,FATAL,Y,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1863.00.00.R-Corfu.pdf,341.0
1862.12.22,1862-12-22 00:00:00,Unprovoked,New zealand,North Island,"Soldier's Point, Brick Bay, Auckland",Swimming,M,Right thigh and left foot severely bitten,N,"V.M. Coppleson (1962), p.247",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.12.22-Cooke.pdf,340.0
1862.12.19.R,1862-12-19 00:00:00,Unprovoked,Australia,Queensland,Brisbane River,Trying to catch a wounded bird,M,FATAL,Y,"Courier, 12/19/1862",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.12.19.R-Boy-Brisbane.pdf,339.0
1862.12.04,1862-12-04 00:00:00,Provoked,New zealand,South Island,Lyttleton?,No Data,No Data,No Data,N,"Bendigo Advertiser, 1/3/1863",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.12.04-Lyttleton.pdf,338.0
1862.08.15.R,1862-08-15 00:00:00,Unprovoked,Spain,No Data,A Spanish port,Bathing,F,Survived,N,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.08.15.R-Lendinez.pdf,337.0
1862.08.02.R,1862-08-02 00:00:00,Provoked,Spain,Malaga,Fuengirola,No Data,M,Possible drowning and scavenging,N,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.08.02.R-Fuengirola.pdf,336.0
1862.07.25,1862-07-25 00:00:00,Unprovoked,Spain,Malaga,San Andres Beach,Swimming,M,FATAL,Y,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.07.25-Martinez.pdf,335.0
1862.07.14,1862-07-14 00:00:00,Unprovoked,Spain,Cádiz,Off Algeciras,No Data,M,FATAL,Y,C. Moore. GSAF,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.07.14-Algeciras.pdf,334.0
1862.07.13,1862-07-13 00:00:00,Unprovoked,Spain,Cádiz,Off Algeciras,Swimming alongside the SS Kearsarge,M,FATAL,Y,C. Moore; W.H. Bedlam,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.07.13-Tibbetts.pdf,333.0
1862.06.03,1862-06-03 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Durban Harbor,No Data,M,"""Very severe wounds""",N,"Cape Argus, 6/10/1862; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.06.03-male_Durban_Harbour.pdf,332.0
1862.05.05,1862-05-05 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Durban,Bathing,M,Lacerations,N,"M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.05.05-Cummings.pdf,331.0
1862.00.00.b,Circa 1862,Unprovoked,Usa,Hawaii,Puna,No Data,F,Ankle bitten,N,Captain W. Young,http://sharkattackfile.net/spreadsheets/pdf_directory/1862.00.00.b-Hawaii.pdf,330.0
1862.00.00.a,1862-01-01 00:00:00,Unprovoked,Japan,Bonin Islands,No Data,Boat of a Hawaiian brig was stove in by  whale,M,FATAL,Y,"Otago Witness, 10/28/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1862.00.00.a-BoninIslands.pdf,329.0
1861.11.10,1861-11-10 00:00:00,Unprovoked,Singapore,No Data,No Data,Bathing alongside the American ship Thomas W. Sears,M,FATAL,Y,"The Argus, 11/15/1861",http://sharkattackfile.net/spreadsheets/pdf_directory/1861.11.10-Singapore.pdf,328.0
1861.09.25.R,1861-09-25 00:00:00,Unprovoked,Cuba,No Data,60 miles off Trinidad de Cuba,Deserting the bark Nazarene,M,Lacerations,N,"New York Times, 10/5/1861",http://sharkattackfile.net/spreadsheets/pdf_directory/1861.09.25.R-deserter.pdf,327.0
1861.03.00,1861-03-01 00:00:00,Unprovoked,New zealand,North Island,"Wynyard Wharf, Auckland Harbor",Bathing,M,"""Severely bitten but recovered""",N,P. Tichener,http://sharkattackfile.net/spreadsheets/pdf_directory/1861.03.00-soldier.pdf,326.0
1861.02.12.R,1861-02-12 00:00:00,Unprovoked,Equatorial guinea / cameroon,Fernando Po Island,No Data,Swimming,M,FATAL,Y,"Daily Southern Cross, 2/12/1861",http://sharkattackfile.net/spreadsheets/pdf_directory/1861.02.12.R-Looney.pdf,325.0
1861.01.15.R,1861-01-15 00:00:00,Unprovoked,Australia,Queensland,Cleveland,Bathing,M,Lacerations to fingers,N,"Moreton Bay Courier, 1/15/1861",http://sharkattackfile.net/spreadsheets/pdf_directory/1861.01.15.R-Lucas.pdf,324.0
1860.12.26,1860-12-26 00:00:00,Unprovoked,Australia,New South Wales,"The Domain, Sydney",Bathing,M,Lacerations to leg,N,"The Argus, 12/31/1860",http://sharkattackfile.net/spreadsheets/pdf_directory/1860.12.26-TheDomain-Sydney.pdf,323.0
1860.10.00,1860-10-01 00:00:00,Unprovoked,Canada,Nova Scotia,Cape Canso,Gloucester fishing schooner run down,M,FATAL x 2,Y,"Baltimore Sun, 10/1/1860",http://sharkattackfile.net/spreadsheets/pdf_directory/1860.10.00-Gloucester.pdf,322.0
1860.08.01,1860-08-01 00:00:00,Unprovoked,Usa,New York,Brooklyn,Swimming,M,Toe severed,N,"New York Times, 8/3/1860; Brooklyn News, 8/3/1860, p.8",http://sharkattackfile.net/spreadsheets/pdf_directory/1860.08.01-JerryDuke.pdf,321.0
1860.04.00.b,1860-04-01 00:00:00,Unprovoked,New zealand,North Island,"Princes Wharf, Auckland Harbor",Swimming,M,"Leg bitten, surgically amputated",N,P.Tichener,http://sharkattackfile.net/spreadsheets/pdf_directory/1860.04.00.b-Cook.pdf,320.0
1860.04.00.a,1860-04-01 00:00:00,Unprovoked,New zealand,North Island,"St. George's Bay, Auckland Harbor",Bathing,M,FATAL Foot & leg bitten,Y,P. Tichener,http://sharkattackfile.net/spreadsheets/pdf_directory/1860.04.00.a-Bradley.pdf,319.0
1860.03.27,1860-03-27 00:00:00,Unprovoked,Cook islands,Mangaia Island,No Data,43-ton schooner Irene capsized & sank,M,Probable drowning ,Y,"Brisbane Courier, 8/1/1866",http://sharkattackfile.net/spreadsheets/pdf_directory/1860.03.27-Clark'sIslander.pdf,318.0
1860.03.11,1860-03-11 00:00:00,Unprovoked,Bahamas,New Providence Island,Nassau,"In boat being towed by ship, Karnak",M,FATAL,Y,"New York Times, 3/26/1860",http://sharkattackfile.net/spreadsheets/pdf_directory/1860.03.11-KarnakPilot.pdf,317.0
1859.03.16,1859-03-16 00:00:00,Unprovoked,Usa,Hawaii,Off Kawaihae,Fell overboard,M,FATAL,Y,"Pacific Commercial Advertiser, 3/24/1850",http://sharkattackfile.net/spreadsheets/pdf_directory/1859.03.16-Luther.pdf,316.0
1858.08.23,1858-08-23 00:00:00,Provoked,Usa,New York ,"Staten Island, Richmond County",Swimming,M,Thought to have been taken by a shark/s. Bodies not  recovered,N,"Chicago Tribune, 8/28/1858",http://sharkattackfile.net/spreadsheets/pdf_directory/1858.08.23-StatenIsland.pdf,315.0
1858.08.17,1858-08-17 00:00:00,Provoked,Usa,New York ,"Staten Island, Richmond County",Swimming,M,Thought to have been taken by a shark/s. Body not  recovered,N,"Chicago Tribune, 8/28/1858",http://sharkattackfile.net/spreadsheets/pdf_directory/1858.08.17-StatenIsland.pdf,314.0
1858.04.04,1858-04-04 00:00:00,Unprovoked,Tobago,No Data,Rocky Bay,Bathing,M,"Leg bitten, surgically amputated",N,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1858.04.04-Williams.pdf,313.0
1858.03.14,1858-03-14 00:00:00,Unprovoked,Australia,Victoria,Hobson Bay,Bathing,M,FATAL,Y,"Moreton Bay Courier, 3/31/1858",http://sharkattackfile.net/spreadsheets/pdf_directory/1858.03.14-Bollander.pdf,312.0
1858.01.14.R,1858-01-14 00:00:00,Unprovoked,Usa,Hawaii,No Data,Swimming,M,FATAL,Y,New York Times 3/14/1858,http://sharkattackfile.net/spreadsheets/pdf_directory/1858.01.14.R-Hodgdon.pdf,311.0
1858.01.09.R,1858-01-09 00:00:00,Unprovoked,Tonga,Vava'u,No Data,Jumped overboard while intoxicated,M,FATAL,Y,"Sydney Morning Herald, 1/9/1858",http://sharkattackfile.net/spreadsheets/pdf_directory/1858.01.09.R-Tonga.pdf,310.0
1857.05.05,1857-05-05 00:00:00,Unprovoked,Usa,Florida,"Cape Sable, Monroe County",Swimming,M,FATAL,Y,"The Buffalo Commercial Advertiser, 5//18/1857",http://sharkattackfile.net/spreadsheets/pdf_directory/1857.05.05-Dunn.pdf,309.0
1856.11.25.R,1856-11-25 00:00:00,Unprovoked,Fiji,No Data,No Data,Swimming,M,FATAL,Y,"The Argus, 11/25/1856",http://sharkattackfile.net/spreadsheets/pdf_directory/1856.11.25.R-Fiji.pdf,308.0
1856.11.20.R,1856-11-20 00:00:00,Unprovoked,No Data,No Data,No Data,Swimming,M,FATAL,Y,"Pacific Commercial Advertiser, 11/20/1856",http://sharkattackfile.net/spreadsheets/pdf_directory/1856.11.20.R-Conhlren.pdf,307.0
1856.06.21.R,1856-06-21 00:00:00,Unprovoked,England,Isle of Wight,Colwell Bay,Swimming,M,Survived,Y,"C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1856.06.21.R-Isle-of-Wight.pdf,306.0
1856.02.06,1856-02-06 00:00:00,Unprovoked,Australia,Victoria,Point Henry,Swimming,M,Severe bite to thigh. Not known if he survived,N,"The Argus, 2/8/1856",http://sharkattackfile.net/spreadsheets/pdf_directory/1856.02.06-Point-Henry.pdf,305.0
1855.11.11,1855-11-11 00:00:00,Unprovoked,Australia,Victoria,Melbourne,Swimming,M,FATAL,Y,"Maitland Mercury, 11/14/1855",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.11.11-Curlew-seaman.pdf,304.0
1855.09.30,1855-09-30 00:00:00,Unprovoked,Usa,North Carolina,Cape Hatteras,ship William Penn grounded & broke apart,M,Foot bitten,N,"NY Times, 10/12/1855",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.09.30-WilliamPenn.pdf,303.0
1855.07.28,1855-07-28 00:00:00,Unprovoked,No Data,No Data,No Data,Bathing,M,FATAL,Y,"Maitland Mercury, 8/25/1855",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.07.28-PostBoy-sailors.pdf,302.0
1855.04.09.R,1855-04-09 00:00:00,Unprovoked,Australia,South Australia,Port Wakefield,Fell overboard from the Malacca,F,FATAL,Y,"The Argus, 4/9/1855",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.04.09.R-Malacca-child.pdf,301.0
1855.03.28,1855-03-28 00:00:00,Unprovoked,Australia,South Australia,Port Wakefield,Fell overboard from the Sobella,M,FATAL,Y,"The Register, 4/20/1926",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.03.28-Coleman.pdf,300.0
1855.02.12.R,1855-02-12 00:00:00,Unprovoked,Solomon islands,Makira-Ulawa Province,Makira Island (Formerly San Cristobal),Swimming ,M,FATAL,Y,"The Hobarton Mercury, 2/12/1855",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.02.12.R-Native.pdf,299.0
1855.00.00,Circa 1855,Provoked,Australia,New South Wales,Sydney Harbor,Swimming ,M,"No injury & although reported as an attack, it  was simply an encounter",N,"Brighton Southern Cross, 2/13/1915",http://sharkattackfile.net/spreadsheets/pdf_directory/1855.00.00-Clark.pdf,298.0
1853.11.08,1853-11-08 00:00:00,Unprovoked,Australia,New South Wales,No Data,Swimming,M,Leg bitten,N,"Maitland Mercury, 11/19/1853",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.11.08-Peters.pdf,297.0
1853.09.28,1853-09-28 00:00:00,Unprovoked,Usa,North Carolina,"Morehead, Carteret County",Commercial Salvage Diving,M,No injury. Copper breastplate & harness bitten,N,"C. Creswell, GSAF; Washington Post, 10/7/1883, p.2",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.09.28-Alfetto.pdf,296.0
1853.07.13.R,1853-07-13 00:00:00,Unprovoked,Usa,South Carolina,"Charleston Harbor, Charleston County",Swimming,M,FATAL,Y,Democratic Banner 8/5/1853,http://sharkattackfile.net/spreadsheets/pdf_directory/1853.07.13.R-Charleston.pdf,295.0
"1853,94.29",1853-04-29 00:00:00,Unprovoked,Greece,Corfu ,No Data,Swimming,M,Leg severed at knee,N,"South Australian Register, 5/8/1854",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.04.29-Hanson.pdf,294.0
1853.00.00.d,1853-01-01 00:00:00,Unprovoked,Australia,Queensland,Moreton Bay,Fell into the water,M,FATAL,Y,"Brisbane Courier, 1/28/1909",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.00.00.d-Hexton.pdf,293.0
1853.00.00.c,Sep or Oct-1853,Unprovoked,Usa,North Carolina,"Morehead, Carteret County",Hard hat diving,M,"No injury, copper breastplate punctured",N,"Fort Wayne Gazette, 1/24/1897",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.00.00.c-MarkDare.pdf,292.0
1853.00.00.b,1853-01-01 00:00:00,Provoked,Usa,South Carolina,Off the Battery,He was fighting a shark when his boat capsized & he disappeared,M, His gold watch was later found in a shark but death may have been due to drowning,N,"W. H. Gregg, p.21 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.00.00.b-battery.pdf,291.0
1853.00.00.a,1853 or 1854,Unprovoked,Usa,Florida,"Near Fernandina Bar, Nassau County ",Knocked overboard,M,FATAL,Y,"W. H. Gregg, p.22 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1853.00.00.a-Hanscheldt.pdf,290.0
1852.12.19,1852-12-19 00:00:00,Provoked,Australia,New South Wales,"Clark's Island, Sydney Harbor",Swimming,M,Shark involvement prior to death was not confirmed,N,"Maitland Mercury & Hunter River General Advertiser, 12/25/1952",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.12.19-Graham.pdf,289.0
1852.10.23.R,1852-10-23 00:00:00,Provoked,Pacific ocean,Between Australia & USA,No Data,Fishing,M,Foot bitten by hooked shark PROVOKED INCIDENT,N,"Maitland Mercury, 10/23/1852",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.10.23.R-Stannard.pdf,288.0
1852.10.09.R,1852-10-09 00:00:00,Unprovoked,Australia,New South Wales,Coalcliff,Fell overboard,M,FATAL,Y,"Maitland Mercury, 10/09/1852",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.10.09.R-Rogers.pdf,287.0
1852.08.07,1852-08-07 00:00:00,Unprovoked,Tonga,Tongatapu,No Data,Fell overboard,M,FATAL,Y,"Courier, 1/3/1853",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.08.07-Weymouth.pdf,286.0
1852.08.00,1852-08-01 00:00:00,Unprovoked,Usa,Virginia,Norfolk,Swimming,M,FATAL,Y,"Dixon Telegraph, 8/14/1852",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.08.00-Sailor.pdf,285.0
1852.07.28,1952-07-28 00:00:00,Provoked,Atlantic ocean,No Data,No Data,No Data,F,Death preceded shark involvement,N,Norway Heritage,http://sharkattackfile.net/spreadsheets/pdf_directory/1852.07.28-Karen.pdf,284.0
1852.05.24,1852-05-24 00:00:00,Unprovoked,South africa,KwaZulu-Natal,Durban Bay,Swimming from capsized boat,M,FATAL,Y,"M. Levine, GSAF; Natal Times, 6/4/1852",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.05.24-Messum-servant.pdf,283.0
1852.02.26,1852-02-26 00:00:00,Unprovoked,South africa,Western Cape Province,Danger Point,Wreck of the steamship Birkenhead,M,"FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks",Y,"D. Davies, pp.182-184; M. Levine, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.02.26-Birkenhead.pdf,282.0
1852.01.22,"""Anniversary Day"" 22-Jan-1850 or 1852",Unprovoked,New zealand,North Island,Wellington Harbor,Swimming,M,"FATAL, posterior thigh bared to femur, kneecap lacerated ",Y,"Ref: H. Blake, Sixty Years in New Zealand, pp. 112-116 V. M. Coppleson (1962], page 247 ",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.01.22-Balmer.pdf,281.0
1852.00.00,1852-01-01 00:00:00,Unprovoked,Usa,South Carolina,"Mount Pleasant, Charleston County","Vessel capsized, wading ashore carrying an oar",M,"FATAL, body was not recovered",Y,"W. H. Gregg, p. 21",http://sharkattackfile.net/spreadsheets/pdf_directory/1852.00.00-Chambers.pdf,280.0
1851.06.16.R,1851-06-16 00:00:00,Unprovoked,Mexico,Oaxaca,Tehuantepec Harbor,Bathing,M,FATAL,Y,"Daily Free Democrat (Milwaukee, WI) 6/16/1851",http://sharkattackfile.net/spreadsheets/pdf_directory/1851.06.16.R-JohnGray.pdf,279.0
1851.03.08.R,1851-03-01 00:00:00,Unprovoked,Usa,Hawaii,Honolulu Harbor,Swimming,M,FATAL,Y,"The Friend (Honolulu), 3/8/1851",http://sharkattackfile.net/spreadsheets/pdf_directory/1851.03.08.R-Kinney.pdf,278.0
